offer id,category,class,subclass,brand,name
1018705005,Lighting & Fans,Decorative Lights,Pendant Light,Luker,Luker TARIO P4 (LBE27HL WD) E27 Holder Without Lamp Pendant Light
1018264754,Paints,Metal Paints,Enamel-Color,BIRLA opus,BIRLA opus SGE 58 Calista Sparkle Gloss 500 ml Teak Brown Enamel-Color
1017910579,Hardware,Safes,Digital Safe,LIFELONG,LIFELONG LLHSL12 34 L Digital Safe
1016002804,Lighting & Fans,Light Bulbs,LED Bulb,Panasonic,Panasonic 50W B22 3000K LED Bulb
1000624157,Electricals,Electrical Tools & Accessories,Door Bell,Anchor,Anchor Capton Chime Door Bell
1017778832,Electricals,Electrical Tools & Accessories,Accessory,Unbranded,Surya 1 1/2 Feet Fan Rod Brown
1018815239,Lighting & Fans,Fan,Ceiling Fan,ERVO,Ervo Fynix 1200 mm Brown Ceiling Fan
1018280361,Paints,Interior Paints,Interior Emulsion - Base,BIRLA opus,BIRLA opus EW 2 Calista Ever Wash Mid Tone 950 ml Interior Emulsion - Base
1000217489,Power & Hand Tools,Hand Tools,Spanners & Wrench,Taparia,Taparia 1812 6x7 mm to 30x32 mm 12pc Ring Spanner Set
1017920392,Hardware,Cabinet Hardware,Cabinet Handle,Nimmi,Nimmi 3235224BSNNICHA Silver 9 in. Cabinet Handle
1017154375,Lighting & Fans,Ceiling Lights,LED COB Light,Panasonic,Panasonic 3W 3000K Swivel Spot LED COB Light
1018701345,Plywood & Laminates,Plywood & Blockboard,Plywood,ACO,ACO 8 ft. x 4 ft. 8 mm MR Plywood
1017927255,Plumbing,Tanks,Overhead Tank,Supreme,Supreme SILTANK 3 Layer Yellow 2000 L Overhead Tank
1017642078,Electricals,Wires & Cables,Low Tension Wire,Orbit,Orbit FRLS-H 1 sq mm Yellow 180 m FR PVC Insulated Wire
1017791556,Paints,Applicators,Roller,Asian Paints,Asian Paints 9 in. Interior ROYALE ROLLER 950 PLUS Interior Wall Roller
1006142359,Electricals,Switches and Sockets,Modular Surface Box,Anchor,Anchor 34569 18 Module Plastic Modular Surface Box
1001990501,Electricals,Wires & Cables,Low Tension Wire,Havells,Havells Lifeline 1.5 sq mm Red 90 m PVC Insulated Wire
1000429451,Lighting & Fans,Light Bulbs,LED Night Bulb,Panasonic,Panasonic 0.5W-Pink LED Night Bulb
1017926776,Plumbing,Tanks,Overhead Tank,Supreme,Supreme SILTANK 3 Layer White 750 L Overhead Tank
1018712135,Lighting & Fans,Outdoor Lighting,Wall Light,Sturlite,Sturlite 3W 3000K ( LG-0076-3W) K-Type 1 Way Wall Light
1000216166,Power & Hand Tools,Hand Tools,Hammer,Taparia,Taparia WH 340B 340 g Ball Pein Hammer
1018265344,Paints,Metal Paints,Enamel-Color,BIRLA opus,BIRLA opus SSE 21 Calista Sparkle Satin 1 L Black Enamel-Color
1017920257,Hardware,Cabinet Hardware,Cabinet Handle,Apace,Apace APSH12160BK Black 6 in. Cabinet Handle
1017740909,Lighting & Fans,Ceiling Lights,LED Panel Light,Philips,Philips 15W FullGlow 3in1 Surface LED Panel Light
