offerid,category,class,subclass,brand,name
1018269748,Flooring,Vitrified Tiles,Vitrified Floor Tile,KAG,KAG REPTUNE WHITE 1200 mm x 600 mm Vitrified - GVT
1018775673,Flooring,Ceramic Tiles,Ceramic Wall Tile,KAG,KAG REMS D Glossy 600 mm X 300 mm Ceramic Wall Tile
1017777864,Hardware,Door Hardware,Door Accessory,Jeevan,Jeevan Star Door Dome Antique Door Dome
1017657517,Hardware,Door Hardware,Tower Bolt,Jeevan,Jeevan Medium 4 in. Silver Brass Tower Bolt
1000676715,Kitchen & Bath,Toilets,Flush Tank,Jaquar,Jaquar White Visible Flush Tank
1017629332,Flooring,Vitrified Tiles,Vitrified Wall Tile,Kajaria Eternity,Kajaria Eternity Desert Noce 600 mm x 300 mm Vitrified - GVT Tile
1000495545,Kitchen & Bath,Wash Basins,Table Top Basin,Jaquar,Jaquar SOLO 370 mm x 485 mm x 150 mm White Table Top Basin
1017834738,Flooring,Vitrified Tiles,Vitrified Floor Tile,Kajaria Eternity,Kajaria Eternity HORDLE BEIGE CARVING 1600 mm x 800 mm NA Tile
1017835206,Flooring,Vitrified Tiles,Vitrified Floor Tile,Kajaria Eternity,Kajaria Eternity JERICO MARFIL 1800 mm x 1200 mm GVT Tile
1017834927,Flooring,Vitrified Tiles,Vitrified Floor Tile,Kajaria Eternity,Kajaria Eternity ONYX PEARL 1800 mm x 1200 mm GVT Tile
1000664292,Kitchen & Bath,Toilets,Flush Valve,Jaquar,Jaquar FLV-CHR-1075NK Brass 190 mm x 120 mm Dual Flush Valve
1017888833,Kitchen & Bath,Toilets,One Piece Toilet,Jaquar,Jaquar CNS-WHT-961NSPP One Piece Toilet
1017834416,Flooring,Vitrified Tiles,Vitrified Floor Tile,Kajaria Eternity,Kajaria Eternity OPEL MARFIL 1200 mm x 600 mm GVT Tile
1015903851,Kitchen & Bath,Bath Faucets,Diverter,Jaquar,Jaquar Aquamax DMJ-CHR-681 Regular Flow Diverter
1000575824,Kitchen & Bath,Bath Accessories,Storage Shelf,Jaquar,Jaquar 600 mm Storage Shelf
1017629732,Flooring,Vitrified Tiles,Vitrified Floor Tile,Kajaria Eternity,Kajaria Eternity Primo Grey Decor 1200 mm x 600 mm Vitrified - GVT Tile
1017891979,Flooring,Ceramic Tiles,Ceramic Wall Tile,Itaca,Itaca Brinch Teal 300 mm X 300 mm Vitrified - GVT
1018286891,Kitchen & Bath,Toilets,Two Piece Toilet,Kerovit,Kerovit Jayden KS112 220 mm Two Piece Toilet Without Flush Tank
1017938234,Flooring,Vitrified Tiles,Vitrified Floor Tile,Icon,Icon Empire Natural 1200 mm x 195 mm GVT
1000248746,Hardware,Door Hardware,Door Aldrop/Latch,IPSA,IPSA 16086 Silver 14 mm x 250 mm Stainless Steel NA
1000603756,Kitchen & Bath,Toilets,Health Faucet,Hindware,Hindware F160027CP ABS Health Faucet
1014878366,Boards & Laminates,Plywood & Blockboard,Plywood,Kitply,Kitply Swastik 8 ft. x 4 ft. 19 mm BWR Plywood
1000183916,Hardware,Kitchen Hardware,Drawer Organiser,Hettich,Hettich 9194317 436x500x200 mm SS Thali Basket
1016114529,Lighting & Fans,Light Bulbs,LED Bulb,Halonix,Halonix Astron Jumbo 40 W B22 Cool Day Light LED Bulb
1017847843,Electricals,Switches and Sockets,Communication Socket,Legrand,Legrand Arteor 1 Module RJ11 Telephonic Outlet
1018737831,Boards & Laminates,Panels & Louvers,Louvers,RANG DÉCOR,Rang Decor RG 5204 Brown 9 ft x 5 inch 12 mm Wood Louvers
1016106909,Plumbing,Accessories,Fastening & Clamp,Hi-Tech Pipe Clamps,"HTUB M8 4"" - U-Bolt"
1016106811,Plumbing,Accessories,Fastening & Clamp,Hi-Tech Pipe Clamps,"HTUB M8 2"" - U-Bolt"
1000055939,Boards & Laminates,Plywood & Blockboard,Plywood,Greenply,Greenply Ecotec 7 ft. x 4 ft. 12 mm BWP/Marine Plywood
1015979768,Electricals,Switches and Sockets,Switch Board Plate,Legrand,Legrand Lyncus 677516 White 16 Module Switch Board Plate
1017063305,Electricals,Switches and Sockets,Communication Socket,Legrand,Legrand Mylinc 1 Module USB Outlet
1006835327,Kitchen & Bath,Spares & Fittings,Cartridge,Goeka,Goeka CRT-02 15 mm Brass Cartridge
1006154863,Kitchen & Bath,Bath Accessories,Floor Drain,Goeka,Goeka 6 in. x 6 in. Square Stainless Steel Floor Drain
1018008701,Hardware,Door Hardware,Door Closer,Godrej,Godrej Godrej 5949 Door Closer Hercules - 60kg Door Closer
1018718076,Hardware,Door Hardware,Door Lock,Godrej,Godrej GODREJ DIGITAL LOCK 5 IN 1-4217 ROSE GOLD Door Lock
1017664382,Hardware,Door Hardware,Door Lock,Godrej,Godrej 4199 Aluminum Anodized Door Lock
1017028089,Hardware,Other Hardware,Glass hardware,EBCO,Glass Side Holder
1017038978,Lighting & Fans,Lighting Accessories,LED Strip Light Driver,Lighting Palace,Lighting Palace Elite 2.5 A 2 W LED Strip Light Driver
1006140646,Lighting & Fans,Ceiling Lights,LED Panel Light,GM,GM YOLO 3 W Cool Day Light Round LED Panel Light
1002382841,Paints,Paint Tools,Other Tools,Cumi,Loose Cumi 100mmx50 Meter 50 Grit Concord Hand Sander Roll
1015906465,Hardware,Fasteners,Screw,Unbranded,Loose_Unbranded Mild Steel Flat Head 32 mm x 6 mm Screw
1000451417,Electricals,Switches and Sockets,Fan Regulator,GM,GM Fourfive 2 Module 5 Step Fan Regulator
1018217702,Electricals,Switches and Sockets,Switch,GM,GM FourFive White 1 Way 20 A Modular Switch
1018635083,Electricals,Switches and Sockets,Fan Regulator,GM,GM FourFive Wave 2 Module 5 Dimmer Fan Regulator
1017785495,Lighting & Fans,Outdoor Lighting,Wall Light,Luker,Luker 3 W White Wall Light
1015023327,Electricals,Switches and Sockets,LED Indicator,GM,GM FourFive 1 Module Orange LED Indicator
1017789533,Lighting & Fans,Outdoor Lighting,LED Flood Light,Luker,Luker 50 W White LED Flood Light
1000624424,Electricals,Electrical Tools & Accessories,Spike Guard,GM,GM E-Book White 10:00 AM Spike Guard with 2 m Wire
1018275366,Electricals,Power Generation & Transformers,Inverter Battery,Luminous,Luminous AmpPower 12V 150Ah AMP-48AP180TT FNSD Tall Tubular Battery
1000168678,Hardware,Cabinet Hardware,Cabinet Handle,Flint,Flint FL:28 Silver 160 mm Pull Handle
1017779477,Electricals,Distribution Boards,Encloser Box,M_Tech,M Tech 1 Meter Medium Meter Box
1017721778,Electricals,Wires & Cables,Low Tension Wire,Finolex,Finolex FRLS-H 4 sq mm Green 180m 1C PVC Insulated Industrial Cable 1100 V
1018748721,Electricals,Wires & Cables,Low Tension Wire,Finolex,Finolex FRLS-H 2.5 sq mm Yellow 90 m FRLS-H Insulated Wire Low Tension Wire
1006917898,Boards & Laminates,Door,Flush Door,Maxilam,"Maxilam 101 MCP 2060 x 810 mm,30 mm  BWR Flush Door"
1014831502,Plumbing,Fittings,SWR Fitting,Finolex,Finolex 4 x 4 in. (110 x 110 mm) P Trap SWR Fitting
1014830001,Plumbing,Fittings,Agriculture Fitting,Finolex,Finolex 3 in. (90 mm) 6 Kg/cm² End Cap Agriculture Fitting
1014836275,Plumbing,Fittings,Water Pipe Fitting,Finolex,Finolex 2 x 1¼ in. (50 x 32 mm) UPVC Reducer Bushing
1017921771,Electricals,"Conduit, Boxes & Fitting",Ceiling Fan Box,Finolex,Finolex 0.8 mm Side Entry Black Ceiling Fan Box
1017766963,Boards & Laminates,Laminates,Decorative Laminates,Merino,Merino 14033 VNR 1 mm Decorative Laminates
1017803515,Boards & Laminates,Laminates,Decorative Laminates,Merino,Merino 44757 Piazza SF 1 mm Decorative Laminates
1000505113,Kitchen & Bath,Bath Faucets,Wall Mixer,Essco - Jaquar,Essco - Jaquar SOMTHING SPECIAL SQT-519KN 3 Way Wall Mixer
1018179969,Kitchen & Bath,Bath Faucets,Hand Held Shower,Essco - Jaquar,Essco - Jaquar SAE-CHR-1931SH555 Hand Held Shower
1000615093,Paints,Tapes,Masking Tape,EZPRO,EZPRO 24 mm x 20 m 6 Masking Tape
1016802571,Power & Hand Tools,Power Tools,Welding Machine,ESAB,ESAB Arc 200i (IGBT) single phase portable 200A MMA inverter welding machine
1017892225,Flooring,Ceramic Tiles,Ceramic Wall Tile,My Tile,My Tile Flat Moroccan 66 HL 300 mm X 300 mm Vitrified - GVT
1017892858,Flooring,Ceramic Tiles,Ceramic Wall Tile,My Tile,My Tile Quad Silver HL 300 mm x 300 mm Vitrified - GVT
1014917155,Boards & Laminates,Laminates,Decorative Laminates,Newmika,Newmika NP8 7655 Mauvella Eucalyptus PRG 0.8 mm Decorative Laminates
1014815606,Hardware,Cabinet Hardware,Cabinet Hinge,EBCO,EBCO Euro Blind Corner Regular Close Cabinet Hinge
1017221873,Paints,Other Paints,Spray Paint,Nippon,Nippon Pylox PO Red 400 ml Spray Paint
1001969989,Paints,Interior Paints,Interior Emulsion - Color,Nippon,Nippon Satin Glo+ 1 L Deepsea Interior Emulsion - Color
1000448083,Paints,Interior Paints,Interior Emulsion - Base,Nippon,Nippon Satin Glo+ 9.75 L SGP3 Interior Emulsion - Base
1017867398,Paints,Metal Paints,Enamel-Color,Dulux Paints,Dulux Paints Gloss Premium 500 ml Mint Green Enamel-Color
1000447936,Paints,Interior Paints,Interior Emulsion - Base,Nippon,Nippon Satin Glo+ 900 ml SGP RED Interior Emulsion - Base
